instance,best,average,cv,time
CyberShake_30.xml,10.15,10.2867,0.0154178,1.21917
CyberShake_50.xml,13.8333,13.9333,0.00829748,2.31177
CyberShake_100.xml,14.8833,22.0766,0.184634,13.2619
GENOME.d.351024866.0.dax,441.383,443.647,0.00923482,6.79927
GENOME.d.702049732.0.dax,827.9,833.11,0.00384614,12.6418
Epigenomics_24.xml,55.8,55.8,0.0256808,0.379167
Epigenomics_46.xml,98.4333,99.6667,0.0152339,1.21026
Epigenomics_100.xml,889.25,889.473,0.000787678,6.20354
Montage_25.xml,0.9,0.916667,0.342969,0.388802
Montage_50.xml,1.81667,1.83333,0.0771199,1.33927
Montage_100.xml,3.93333,4.05667,0.0281758,9.94661
Inspiral_30.xml,13.7,13.7133,0.00383673,0.670469
Inspiral_50.xml,22.3833,22.3866,0.0010926,1.79891
Inspiral_100.xml,40.2333,40.5033,0.00396844,8.7514
