instance,best,average,cv,time
CyberShake_30.xml,10.9333,11.395,0.0322781,0.0359375
CyberShake_50.xml,14.1,14.8817,0.0364039,0.120313
CyberShake_100.xml,18.15,18.8933,0.0202528,0.615625
GENOME.d.351024866.0.dax,490.433,500.5,0.0147306,0.36875
GENOME.d.702049732.0.dax,910.7,942.315,0.0161203,1.25781
Epigenomics_24.xml,57.0167,58.0333,0.0834562,0.025
Epigenomics_46.xml,104.183,112.743,0.0350834,0.101562
Epigenomics_100.xml,939.667,986.327,0.0226664,0.851562
Montage_25.xml,1.26667,1.41833,4.98477,0.0265625
Montage_50.xml,2.65,2.87,0.779647,0.164062
Montage_100.xml,5.93333,6.14,0.116787,0.98125
Inspiral_30.xml,15.4667,16.0867,0.0252686,0.0484375
Inspiral_50.xml,27.2333,27.9217,0.017379,0.148438
Inspiral_100.xml,47.7333,49.2633,0.0146119,0.634375
