instance,best,average,cv,time
CyberShake_30.xml,21.0667,21.0933,0.000724796,0.000755208
CyberShake_50.xml,33.5667,33.6133,0.000806074,0.00143229
CyberShake_100.xml,57.1333,57.2817,0.00186226,0.00354166
GENOME.d.351024866.0.dax,4855.13,4855.58,5.09817e-05,0.00260417
GENOME.d.702049732.0.dax,9721.05,9721.42,2.71559e-05,0.00523437
Epigenomics_24.xml,450.133,450.288,0.000292646,0.000520833
Epigenomics_46.xml,1052.78,1052.89,9.60741e-05,0.00127604
Epigenomics_100.xml,10286.9,10287.1,1.12625e-05,0.00395833
Montage_25.xml,4.91667,4.95,0.00840568,0.000625
Montage_50.xml,11.75,11.8217,0.00379148,0.00132812
Montage_100.xml,25.5167,25.6667,0.00280931,0.00320313
Inspiral_30.xml,168.1,168.127,0.000185796,0.000755208
Inspiral_50.xml,299.167,299.223,0.000126432,0.00140625
Inspiral_100.xml,534.683,534.773,9.44494e-05,0.00361979
