instance,best,average,cv,time
CyberShake_30.xml,10.15,10.2867,0.894435,1.21917
CyberShake_50.xml,13.8333,24.22,0.990501,3.53094
CyberShake_100.xml,14.8833,46.2966,1.06398,16.7929
GENOME.d.351024866.0.dax,441.383,489.943,0.90114,23.5921
GENOME.d.702049732.0.dax,827.9,1323.05,0.96883,36.234
Epigenomics_24.xml,55.8,1378.85,1.35954,36.6131
Epigenomics_46.xml,98.4333,1478.52,1.60657,37.8234
Epigenomics_100.xml,889.25,2367.99,1.37265,44.0269
Montage_25.xml,0.9,2368.91,1.69781,44.4157
Montage_50.xml,1.81667,2370.74,1.96921,45.755
Montage_100.xml,3.93333,2374.8,2.20541,55.7016
Inspiral_30.xml,13.7,2388.51,2.40953,56.3721
Inspiral_50.xml,22.3833,2410.9,2.58744,58.171
Inspiral_100.xml,40.2333,2451.4,2.73292,66.9224
